id;start_date;end_date;language
1;2020-01-31T08:39:28;2020-01-31T06:29:43;SPANISH
2;2020-01-30T13:29:39;2020-01-31T08:34:04;SPANISH
3;2020-01-31T04:24:58;2020-01-30T14:59:07;FRENCH
4;2020-01-30T19:42:29;2020-01-31T07:13:55;FRENCH
5;2020-01-31T05:12:47;2020-01-31T09:59:46;FRENCH
6;2020-01-30T23:05:08;2020-01-31T11:13:22;FRENCH
7;2020-01-31T00:50:28;2020-01-30T18:41:19;FRENCH
8;2020-01-30T23:46:41;2020-01-31T10:02:49;SPANISH
9;2020-01-30T22:27:50;2020-01-30T19:09:13;SPANISH
10;2020-01-31T06:39:54;2020-01-30T17:14:24;SPANISH
